I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.1166878026254914,1.0595547773491716,1.1346396898159314,1.0956299589470435,0.9670774572118317,1.1465611496627603,1.1099924868942443,1.138013494115377,0.9744939001009634,1.0614614537069245,1.0443744246192974,0.5829913843253706
1.1059975386528647,1.0496425898017816,1.123888670470396,1.084687982203845,0.958119776637184,1.1356194360302718,1.0993923479698202,1.1269663412253297,0.9648565839375964,1.0509066367372883,1.0343451210607806,0.5760178208269222
1.0800650308078832,1.0255029831043931,1.0978037721766478,1.0578158225484764,0.9364174164790475,1.1089365771028696,1.073703183236231,1.1001278625199282,0.9412404002535653,1.0250991225781554,1.0099340849989784,0.5591361734304722
1.0386139034594597,0.9869270594090866,1.0561102358434347,1.01491645891674,0.9017276226214083,1.0663011907526472,1.0326415046455155,1.0572327868044282,0.9035258106719651,0.9838729564528254,0.9709215800350094,0.5321525434394623
0.9833801499675053,0.935633444822029,1.0005644605430923,0.9581161547238614,0.8554785399107432,1.0096485850330592,0.9779090346990862,1.0001276568926312,0.8535326759945023,0.929162772512399,0.9190273094583086,0.4961681904506151
0.9165446468057167,0.8736962677329793,0.9333652114570634,0.8898184570271424,0.7994859738151046,0.9412867004252817,0.9116602794446441,0.9310916395626995,0.7933507005586157,0.8632277772889281,0.8563401053838976,0.4525925616790211
0.8401944001451027,0.8030980883592435,0.85661638696115,0.8123153543010732,0.7354880798416543,0.8634207450744658,0.8359573711875121,0.8523047083189671,0.724973887037994,0.7882250823638663,0.7848569958568443,0.4027750214214003
0.7563225458539831,0.7257298987456775,0.7723270186255116,0.7277872764373334,0.6651453635366625,0.7781531947897379,0.7527700684906353,0.7658476433919402,0.6503005364425783,0.7062097043680713,0.7064832048522601,0.34800485105610424
0.6668283494979883,0.6433911227646856,0.6824112712146662,0.6383030947447903,0.5900406804855094,0.6874837930442019,0.6639757561745792,0.6737020317382985,0.5711332481185609,0.6191345649818033,0.6230321522753004,0.289511249043114
0.5735172063400619,0.55778961611622,0.5886884426874901,0.5458201219495004,0.5116792363126832,0.5933095509749348,0.5713594453175312,0.5777502670408938,0.48917891974838495,0.528850490934726,0.5362254539611662,0.22846333092404073
0.47810064134045743,0.47054166632778177,0.4928829641972179,0.45218411219470844,0.43148858668178164,0.497424747382991,0.4766137732553008,0.47977554970875075,0.4060487473507455,0.4371062140059059,0.44769292167510255,0.16597012932212746
