I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.1570672588523925,1.1360815004259444,1.0325158324493724,1.0235509821506217,1.0911026058840139,1.2721159211952373,1.1829679482798259,1.2706644670668459,1.1197439289563653,1.0323105499950413,1.0575094989944633,1.1867407035808195
1.1515220174598324,1.099796457369475,1.0458259637257643,0.9458437241572311,1.018799396939182,1.242547739076749,1.1652027869992196,1.154300563834911,1.1174213214257895,1.0652698466858639,1.158341549618929,1.1419719856276749
1.078704283309113,1.0465930032486979,0.9676421397597935,0.9003076464832712,0.9877009856604012,1.2252076449506613,1.105293932028501,1.1612148236881825,1.0327678028584475,0.9705285636993396,1.1047680003800666,1.1815191250450197
0.97695983436273,0.9489527354991049,1.0201295132808563,0.8039023940109896,0.9340144493146177,1.1265432263443786,1.0501691892647032,1.0518061630167403,0.944956859955685,0.8493252492538302,0.9924913586261878,1.0568601303587069
0.8972389828321592,0.8475412888477448,0.8679067302301208,0.7469590059532604,0.8470528265762053,1.0281824348937911,0.9019034277277413,0.9635137841784078,0.9241119161791544,0.8222301456438874,0.9639865318867273,0.9291948002685004
0.7590258611541607,0.7500116990958412,0.7239565484242693,0.6158622644923004,0.7376713749709273,0.8406017140735303,0.790640706629219,0.8682599516771481,0.8290961859615437,0.7460740899973016,0.8625436726839267,0.8556624796670407
0.6755580650814886,0.6436699089053182,0.5457943816029919,0.5631841803817744,0.6555235899257559,0.6927670583558534,0.6547284105891308,0.7971320462607383,0.7121541458937525,0.5371405512438606,0.6955445935848877,0.7805852936766311
0.5948144660957305,0.5366781749949862,0.49391191941850104,0.4196375047211064,0.5572869052515423,0.6440030275060323,0.5875239917969757,0.6689432096892164,0.5464259064876037,0.4857713005128064,0.6168243527438211,0.5556046957380851
0.3814453483083267,0.40652574447738105,0.347798944820649,0.25658450147849865,0.4270277777759785,0.41995249864709977,0.43637964332421664,0.4567350932471326,0.4133369738656304,0.3141348180753847,0.47644550873479075,0.3845237204191169
0.24444942096933717,0.2564177220371661,0.16437458490562762,0.11003943961773975,0.26468389638227446,0.3398055456727779,0.32754077653406577,0.34781779313440375,0.34644185907682495,0.22415999156864944,0.3737376555738048,0.287632766964293
0.16857483758504307,0.15775582405220262,0.044086882079517546,-0.10831491249956,0.10917075750354754,0.164817769644026,0.14928825402923854,0.21546351647193226,0.26720893089302467,0.12057837647633138,0.24244031035757754,0.10617758622471615
0.051490655539256344,0.0680062040632692,-0.11526787062908128,-0.12577305274770958,0.083578239416659,0.03099751388805158,0.03901005580982708,0.10000730057413917,0.18920660332012187,-0.04781086993999786,0.06201859105875522,-0.007992094378191695
-0.057539457299871574,-0.1016881037559534,-0.15418052305911417,-0.18947517294008454,-0.10756865191996158,-0.02398114609295311,-0.050378627683852206,0.07713029523799007,0.04719306957153053,-0.1576907238532577,0.04873587592946611,-0.0622933010836509
-0.18529266419197243,-0.14450924212270239,-0.1991349515988427,-0.2625325020588956,-0.053634696033921445,-0.15368709190695445,-0.13632091894259615,-0.042746269393294796,-0.06536622089201329,-0.09106139980874181,-0.08900462917161252,-0.16050956864984806
-0.2161166650322515,-0.20815234767599297,-0.26565142797156427,-0.4903980728782557,-0.11480768803359452,-0.20235489737036658,-0.2199863714770404,-0.23540406993638283,-0.11560210715595279,-0.18783417122678683,-0.15742725930719711,-0.21773066485290637
